titulo,valor
"Neste Palco Da Folia, É Minha Vila Que Anuncia: Theatro Municipal, A Centenária Maravilha ",1728
Brilha No Céu A Estrela Que Me Faz Sonhar,1722
Na Minha Mão É Mais Barato,1716
Todo Azul Que O Azul Tem,1714
O Teu Cabelo Não Nega,1707
"De Braços Abertos, De Janeiro a Janeiro, Sorrio, Sou Rio, Sou Estácio de Sá",1707
Como Era Verde o Meu Xingú,1704
Verde Que Te Quero Rosa,1702
Uniao Da Ilha Do Gouvernador,1688
Aquarilha do Brasil,1684
Hoje Tem Marmalada,1677
Heróis da Liberdade,1671
Festa Do Cirio De Nazaré,1666
A Guerreira Negra Que Dominou Os Dois Mundos,1657
"Celebrando a Religiosidade, Tucuruvi Canta As Festas de Fé",1655
X 9 Paulistana,1652
O Show Tem Que Continuar,1647
Mancha Verde,1639
As Sete Confluências Do Rio Han,1638
A Grande Constelação das Estrelas Negras,1629
O Show Tem Que Continuar,1624
Onde o Brasil Aprendeu a Liberdade,1623
"Abraão, O Patriarca da Fé",1615
"Do Ventre da Terra, Raízes para o Mundo",1614
"Com A Boca No Mundo, Quem Não Se Comunica Se Trumbica",1614
Inesquecível,1608
Império de Casa Verde,1608
"""Ser Diferente É Normal, O Império Serrano Faz A Diferença No Carnaval""",1606
"Sou Rei, Sou Salgueiro, Meu Reinado É Brasileiro",1595
"É! O Moleque Desceu o São Carlos, Pegou um Sonho e Partiu Com a Estácio!",1595
Ponha um Pouco de Amor Numa Cadência e Vai Ver Que Ninguém No Mundo Vence A,1586
Silas Canta Serrinha,1585
Conselho,1583
O Quinto Dos Infernos,1583
O Nosso Brasil Que Vale,1578
"Kizomba, A Festa Da Raça",1577
Madeira,1561
Mangueira Redescobre A Estrada Real... E Deste Eldorado Faz Seu Carnaval,1559
Teresa Benguela,1558
Mocidade Apresenta: Clube Literário,1554
"100 Anos de Liberdade, Realidade ou Ilusão?",1527
"""100 Anos De Imigração Japonesa ",1517
Eu Sou a Arte: Meu Palco É a Rua,1514
"No Pregão da Folia, Sou Comerciante da Alegria e Com a Estácio Boto Banca na Avenida",1506
Uma Idéia Genial,1499
Renascer de Flechas e de Lobos / Bachianas Brasileiras No. 5,1496
E Eles Verão a Deus,1494
No Reino da Mae de Ouro,1494
Dragões da Real,1484
Cunhatã Chama Curumim Que Eu Vou Contar...,1480
Quase No Ano 2000,1475
Aurora Do Povo Brasileiro,1474
Insensato Destino,1471
Poema Aos Peregrinos da Fé,1470
33 Destino D. Pedro II,1461
Contos de Areia / Ilu Ayê (Terra da Vida),1460
Raízes,1459
A Celebração da Solidariedade No Mundo / Onde Há Necessidade Há um Leão,1457
"Xingu, O Clamor Que Vem Da Floresta ",1456
A Velha Bahia Apresenta o Centenário Do Poeta Cancioneiro Dorival Caymmi,1449
Villa,1445
Marta do Brasil! Chorar No Começo para Sorrir No Fim,1445
Faixa Amarela,1441
Nenê Apresenta Seu Musical: Rainha Raia Nas Asas do Carnaval,1439
Carnevale / A Magia da Folia,1439
"Cubango, A Realeza Africana de Niterói",1434
"100 Anos De Liberdade, Realidade Ou Ilusão?",1433
Alimentar O Corpo E A Alma Faz Bem,1431
Acadêmicos do Tucuruvi,1429
Rei de França Na Ilha da Assombração (Incredo Incruiz),1428
"""De Lambida Em Lambida, A Tijuca Dá Um Click Na Avenida""",1424
Menininha do Gantois,1423
Os Santos Que A África Não Viu,1422
Festa do Círio de Nazaré,1408
"Solidariedade / A Explícita Magia de Sonhar / Amar, Viver, Em Prol do Bem ",1390
Anita Garibaldi,1390
A Viradouro É Só Sorriso,1388
Numa Viagem Arretada por Terras Nordestinas / A Joia Rara do Samba Embarca Rumo Ao Maior São João do Mundo: Campina Grande,1388
Os Sete Pecados Capitais,1383
"Brasil, Um Coração Que Pulsa Forte, Pátria De Todos Ou Terra de Ninguém",1382
Direito É Direito,1380
Uma Festa Brasileira,1378
As Cinco Deusas Encantadas na Corte do Rei Gavião,1375
Quem Nunca Sentiu O Corpo Arrepiar Ao Ver Esse Rio Passar...,1372
Arquitetando Folias,1358
"A Cana Que Aqui Se Planta Tudo Dá, Até Energia... Álcool, O Combustível Do Futuro",1358
